No.,Time,Protocol,Info,Source IP and port,Dest IP and port,Length,Payload in Bytes
30,2.708543,TLSv1(TCP),Application Data,192.168.1.135:37819,192.168.1.3:3389,151,17030100505acfc80224f1cde9e9ffb4eff212258c36f90d6bfb0706ebd23fb9a24dc05bac93a84c9242edbc48655275fe3b0b376211f6c7182afd2b4947c34e6974a2f8464478d3c46c8abcf41280cca046c2acf9
29,2.707399,TCP(TCP),37819 \xe2\x86\x92 3389 [ACK] Seq=889 Ack=909 Win=64128 Len=0 TSval=3980782770 TSecr=1226331,192.168.1.135:37819,192.168.1.3:3389,66,
27,2.692569,TLSv1(TCP),Client Key Exchange  Change Cipher Spec  Encrypted Handshake Message,192.168.1.135:37819,192.168.1.3:3389,392,160301010610000102010075603175db78f9c5389c0299360816cc950d1697e8d60b2724207bfa18a26ae4f4deb6a6b4ef4a99d4dfc28c15da407465d63a10dda19102b4c32ae571b067422fcb3a816c1548b040f3085e8efee7139c04ba255f8cf072228b8550b748d2dbb984df648a621c46d8a11db488a4e3c60789e93a767d828f2c9cc0fae6c6642f443e2dd9547949affe1ae8bc3ab36e112d7581be4f523294a84912de99ae2c8b853cf4e763da9c2cf5425c06a1e1a4f3b3d11529f0fb5cdf256e42416736269043dbaf060780f55a932784fb70c005723368a9a58154c867a38ee9188f9b895f07750f61dddab92bcce747460d2b238a0c86951370db30cf4d856208dccbf6b71403010001011603010030ec10d16490c04d555ce9ae3b765845e65e3e6a8b92e668c0901e9a206865a4df37ed45b3bcd69a6f40e66e8e6d224292
26,2.689949,TCP(TCP),37819 \xe2\x86\x92 3389 [ACK] Seq=563 Ack=850 Win=64128 Len=0 TSval=3980782752 TSecr=1226330,192.168.1.135:37819,192.168.1.3:3389,66,
24,2.688382,TLSv1(TCP),Client Hello,192.168.1.135:37819,192.168.1.3:3389,583,1603010200010001fc0303cdb3be87cae88839fcf34a044c0366cded92a4cb1a16c0169890b92246a4a1092013eb74126ad51de004661a5e42db57d177f38f915e342750c8629970f0d97efa003e130213031301c02cc030009fcca9cca8ccaac02bc02f009ec024c028006bc023c0270067c00ac0140039c009c0130033009d009c003d003c0035002f00ff01000175000b000403000102000a000c000a001d0017001e00190018002300000016000000170000000d0030002e040305030603080708080809080a080b080408050806040105010601030302030301020103020202040205020602002b0009080304030303020301002d00020101003300260024001d002047b1175367145bef98dacf721ed533678041fe44964e37b72e928cbabff7fc49001500dc00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,2.684669,TCP(TCP),37819 \xe2\x86\x92 3389 [ACK] Seq=46 Ack=20 Win=64256 Len=0 TSval=3980782747 TSecr=1226328,192.168.1.135:37819,192.168.1.3:3389,66,
20,2.675988,TCP(TCP),37819 \xe2\x86\x92 3389 [PSH  ACK] Seq=1 Ack=1 Win=64256 Len=45 TSval=3980782738 TSecr=1226328,192.168.1.135:37819,192.168.1.3:3389,111,0300002d28e00000000000436f6f6b69653a206d737473686173683d41467466734d450d0a010008000b000000
19,2.673595,TCP(TCP),37819 \xe2\x86\x92 3389 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3980782736 TSecr=1226328,192.168.1.135:37819,192.168.1.3:3389,66,
17,2.672547,TCP(TCP),37819 \xe2\x86\x92 3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3980782734 TSecr=0 WS=128,192.168.1.135:37819,192.168.1.3:3389,74,
36,2.713805,TCP(TCP),3389 \xe2\x86\x92 37819 [RST  ACK] Seq=1138 Ack=1012 Win=0 Len=0,192.168.1.3:3389,192.168.1.135:37819,54,
35,2.713669,TCP(TCP),3389 \xe2\x86\x92 37819 [ACK] Seq=1138 Ack=1012 Win=65536 Len=0 TSval=1226332 TSecr=3980782775,192.168.1.3:3389,192.168.1.135:37819,66,
31,2.710227,TLSv1(TCP),Application Data,192.168.1.3:3389,192.168.1.135:37819,295,17030100e0aa54d62883463dbc0d2b66eebda3651e7e0953c91a99f8d1f7644d37a9a4b4de0255643255885522ae19e97575bd2a70d517d58d41a56d06a1595cf4667c74969c4d3a99673fef50f1c38fe4d035788104cc01f49912123b3ef1ca75753aa3c62884105327804ee57125b517d2038ca1bd8530ba50c9e879bf89f57ccee9e917e1fade337c5bac0244af02597267ccab7f17a46ce0ecfb4c0d91c1415deeddfcf4e1996f54b7baa406fdc180df8001689c47d5088c6a92cab257b86538082607149b23dcfeeb8bfd3921bbe2526c5751255b333e20501442f0d860ee9b9a9933
28,2.706966,TLSv1(TCP),Change Cipher Spec  Encrypted Handshake Message,192.168.1.3:3389,192.168.1.135:37819,125,1403010001011603010030edc8cffb53cae797ea241fcf53f579bbca4aa1c6a7413022fd445a4d516f1f2c697c8c77895b18f7208c07558ae860c6
25,2.68969,TLSv1(TCP),Server Hello  Certificate  Server Hello Done,192.168.1.3:3389,192.168.1.135:37819,896,16030103390200004d03015fa4f861fc7ba0a0497891b8fb039c974a65d5e6c87f99803d3f550feccf91d42070020000903c345ab08da85d84b217f469033369d099c7c04a31b849339bbb18002f000005ff010001000b0002e00002dd0002da308202d6308201bea0030201020210305ad298c3c863b84cd87ea12e3fa324300d06092a864886f70d010105050030143112301006035504031309636c69656e742d3032301e170d3230313130313038353635395a170d3231303530333038353635395a30143112301006035504031309636c69656e742d303230820122300d06092a864886f70d01010105000382010f003082010a0282010100980deeb709917a60b96391f2ead1075e5ba9c4efc2a54fd4bf4125ea4fd525c3cdd09910a5b6a7117bca17b541ff65d19c3393c9704675713cf1382523930b113081310e90cf7575200491ff3405068de0c80beb289fc5f5af6f3b35c2906a1339d3825517560375bef41e7e53aef5a0ff00aa5ab84f256ded3a6671be530cb8cf8a72aa5cf09f17f66009198bf5f6d97c14026633ed7be8f0721ed6cf97eb993c06f18f9226ffc7dd6ae23110ae79006c3ed62de17f98e53ef0d03171a9a8c16355205b0680a1dbaf36eebe6e60290ec57875bc9ccd13372d4cef458b8048ac129b1247f72f9ef21d9c9e16911aa58f45fe72d323d03f7029e9eb1ac40bca8b0203010001a324302230130603551d25040c300a06082b06010505070301300b0603551d0f040403020430300d06092a864886f70d010105050003820101001d80fbf44af3c95da648811f4e36dcc1865156282c1c10ba6e85efb7db43ebff198d84046724327b2decd5c73cde3fa4098bdfae93a479565caca33b71bd04ed87292bdb3d24a31533be03c36137f72e11a7128d92c2a787d188726decd5c9bb880f9d44fd6baf1187d57d4416b70fc843ef8b1239bb4a5d941645657f043a6d14a7b5bbc60dbfbd87678a76bc38ef4ca8b3abf2c2d839546cd2889563e777cfeb66461449cd13531c8090f3bd997802468d2b5bfd4f5ffad6fee6ddf4344f2160053a5e39a75dadbe86c3080f4e86ba9c4d3f44e99efdd813e1339228a1ade20eb800d535a1debda2528a048fb0fe6610de3b144453801c5d6af87ed9d69d290e000000
